Lat,Long
13.31857884,36.79910973
11.43517099,37.30940752
11.80673829,37.07952855
11.66888115,38.56783452
12.05352102,37.84876141
11.83218439,39.14734959
11.605,38.055117
10.698,37.258
12.89804877,37.17300236
11.06059455,37.04604032
11.0987849,36.95930896
10.47083205,40.03770651
11.26700258,37.28870224
10.739567,38.069533
11.604283,37.368833
10.91771161,38.30017862
11.5663252,36.48399973
11.09192971,37.3915545
12.41608894,37.28347479
10.98862032,38.88429534
10.49538976,39.54595011
10.8428,37.605283
11.36473894,37.39697168
11.38234695,37.40886899
11.64774057,39.11166777
11.67248696,39.12070972
12.2959559,37.89424674
10.78914416,38.9601942
10.95003206,39.87514664
11.28508444,37.58882967
9.2333,37.6833
10.9001036,38.23914545
10.691302,37.266227
10.85739417,37.19382129
11.56834762,38.7809939
11.57578343,38.73667644
10.78746961,38.87989929
12.58098559,37.25634894
11.61353582,39.03639748
11.62275623,39.04115641
12.00368869,36.68466757
11.27381685,39.99424168
11.8,38.1333
13.01868744,38.17166215
11.67926843,38.92545512
10.62477806,37.14336879
12.72375325,36.99187184
12.3859335,39.07977556
12.29313452,38.99411496
12.2746937,39.10892395
11.78535843,39.50786173
11.79440038,39.49786799
10.15406352,39.41169708
11.01425824,37.81708855
10.60017254,38.32464741
12.14679855,39.5309425
12.858512,37.737866
11.86054939,39.54260186
12.77993827,38.02511709
12.21929806,38.15678263
11.62728867,37.8172211
12.215111,35.89807
12.31492219,35.8863584
11.93695999,38.8965544
11.75610476,37.95718298
10.07903118,39.46943867
12.73442116,36.44386611
10.927441,38.087571
11.9488573,39.12022374
11.26912031,37.86826053
10.45,39.45
10.21234419,37.38130534
13.06009006,38.2359076
11.94408218,38.14135326
11.75097521,39.63397316
11.15,39.9166
11.37740759,39.90432269
10.25867137,40.04365516
10.7257794,39.83097893
10.26009905,39.99463826
9.948002197,38.97136989
10.80401579,39.11307457
10.63149493,39.7172713
11.99644652,39.10356751
10.11123322,39.18647316
12.54913055,38.08817281
10.95774604,38.03837843
11.60212587,37.95029444
10.06031276,38.92901548
10.85,36.8833
9.3,39.5333
12.11348343,37.73978209
11.17655128,37.60682434
10.41769167,37.47124896
10.6638556,39.65159818
10.85255593,37.45675173
11.82320556,37.96717671
10.03699404,39.06797601
10.994,37.205983
11.35014095,37.99139764
11.28765908,38.82231038
11.751581,38.390708
10.8529203,39.9677969
10.849611,37.438577
10.73505929,39.90735963
10.74469611,39.92770402
11.53197557,39.66352805
10.32370296,37.37844999
12.4791744,38.21594987
12.395174,38.081111
11.5715498,37.62977906
10.15612572,39.55319569
11.73669845,39.74342837
11.78244359,39.63474649
10.55542189,39.98595323
10.87420989,39.09820294
10.69237665,38.26991981
11.41805672,39.60106038
10.74656888,37.91345672
11.65400951,38.44350769
10.48047367,36.86318527
12.602983,37.468517
12.618333,37.4555
12.43991329,37.73363312
11.2167,37.6667
9.5833,39.7333
12.235567,37.290717
10.14835281,39.29415171
11.53580849,39.24727902
11.76308072,39.58164485
9.739410714,39.43315506
